Player,Current Team,Opponent Team,Stat,Line,Best Bet,Probability,Expected Value,Weighted Mean,ARIMA Forecast,Date Range
Domantas Sabonis,SAC,NOP,pts_rebs_asts,39.5,under,1.0,7.36,7.34,7.41,2024-11-13 to 2025-02-06
John Collins,UTA,LAC,points,17.5,under,1.0,2.95,2.933537408925252,2.96924095479551,2024-11-16 to 2025-02-07
Naz Reid,MIN,OKC,points,18.5,under,1.0,2.95,2.973966159285564,2.9066158401766384,2024-12-29 to 2025-02-08
Rudy Gobert,MIN,OKC,points,11.5,under,1.0,2.79,2.7254218915898694,2.8792952721171767,2024-12-25 to 2025-02-08
Lauri Markkanen,UTA,LAC,points,19.5,under,1.0,2.96,3.049500700618194,2.836673547496501,2024-12-03 to 2025-02-07
Isaiah Collier,UTA,LAC,points,10.5,under,1.0,2.66,2.545786137129616,2.8222581702635923,2024-12-26 to 2025-02-08
Domantas Sabonis,SAC,NOP,points,18.5,under,1.0,2.77,2.8171968322719363,2.7061424464859343,2024-11-13 to 2025-02-06
Walker Kessler,UTA,LAC,points,11.5,under,1.0,2.55,2.441405910557448,2.706084557913894,2024-11-26 to 2025-02-03
Jimmy Butler,GSW,HOU,points,19.5,under,1.0,2.6,2.5938864221402307,2.6184295325863096,2024-10-23 to 2025-02-08
Klay Thompson,DAL,MIA,points,16.5,under,1.0,2.69,2.7884026185229374,2.545930676167308,2024-12-21 to 2025-02-08
Anthony Edwards,MIN,OKC,pts_rebs_asts,41.5,under,1.0,7.16,7.11,7.26,2024-12-15 to 2025-02-03
Walker Kessler,UTA,LAC,rebounds,11.5,under,1.0,2.46,2.4744749005332287,2.4308482192830483,2024-11-26 to 2025-02-03
Keon Ellis,SAC,NOP,points,9.5,under,1.0,2.49,2.525628869507118,2.4255470956464413,2024-12-26 to 2025-02-08
Naz Reid,MIN,OKC,rebounds,7.5,under,1.0,2.29,2.312108696264058,2.247914124075961,2024-12-29 to 2025-02-08
Keegan Murray,SAC,NOP,rebounds,6.5,under,1.0,2.08,2.0361263502882188,2.135702398921067,2024-12-21 to 2025-02-08
Mike Conley,MIN,OKC,points,10.5,under,1.0,2.26,2.3495664905012648,2.12127014407048,2024-12-21 to 2025-02-06
Draymond Green,GSW,HOU,points,7.5,under,1.0,2.18,2.2641179720382656,2.051155093244805,2024-11-23 to 2025-02-08
Anthony Edwards,MIN,OKC,assists,5.5,under,1.0,1.92,1.8555995233032212,2.0252908645274768,2024-12-15 to 2025-02-03
Mike Conley,MIN,OKC,assists,5.5,under,1.0,1.94,1.9702929510680427,1.9001114298220976,2024-12-21 to 2025-02-06
Olivier-Maxence Prosper,DAL,MIA,points,9.5,under,1.0,2.03,2.145402613623741,1.8608837698660157,2024-12-15 to 2025-02-06
Lauri Markkanen,UTA,LAC,rebounds,5.5,under,1.0,1.83,1.8139494658844573,1.8506276008363756,2024-12-03 to 2025-02-07
Draymond Green,GSW,HOU,assists,4.5,under,1.0,1.87,1.9144442635556636,1.814554412885533,2024-11-23 to 2025-02-08
Kyrie Irving,DAL,MIA,assists,4.5,under,1.0,1.81,1.864288367661376,1.7246919293292031,2024-11-27 to 2025-02-08
Jimmy Butler,GSW,HOU,assists,5.5,under,1.0,1.71,1.7142123313644697,1.714677517987581,2024-10-23 to 2025-02-08
Max Christie,DAL,MIA,rebounds,5.5,under,1.0,1.64,1.6635406972228937,1.6069341240371433,2024-12-23 to 2025-02-08
Stephen Curry,GSW,HOU,assists,5.5,under,1.0,1.67,1.7469380333592093,1.561583586125973,2024-12-19 to 2025-02-08
Jimmy Butler,GSW,HOU,rebounds,5.5,under,1.0,1.41,1.3455363558044924,1.510941210795156,2024-10-23 to 2025-02-08
Keyonte George,UTA,LAC,points,17.5,under,1.0,2.88,2.819032739740595,2.9658585060248126,2024-12-03 to 2025-02-08
Keegan Murray,SAC,NOP,points,12.5,under,1.0,2.46,2.46253431250053,2.468007531574525,2024-12-21 to 2025-02-08
Max Christie,DAL,MIA,points,14.5,under,1.0,2.9,2.847357433649055,2.9769945211879856,2024-12-23 to 2025-02-08
DeMar DeRozan,SAC,NOP,pts_rebs_asts,28.5,under,1.0,6.34,6.32,6.37,2024-12-22 to 2025-02-08
Max Christie,DAL,MIA,pts_rebs_asts,23.5,under,1.0,6.11,5.98,6.3,2024-12-23 to 2025-02-08
Rudy Gobert,MIN,OKC,pts_rebs_asts,24.5,under,1.0,6.19,6.12,6.29,2024-12-25 to 2025-02-08
Naz Reid,MIN,OKC,pts_rebs_asts,28.5,under,1.0,6.71,6.78,6.58,2024-12-29 to 2025-02-08
Zach LaVine,SAC,NOP,pts_rebs_asts,31.5,under,1.0,6.29,6.39,6.13,2024-12-19 to 2025-02-08
Stephen Curry,GSW,HOU,pts_rebs_asts,35.5,under,1.0,6.73,6.79,6.64,2024-12-19 to 2025-02-08
Keyonte George,UTA,LAC,pts_rebs_asts,26.5,under,1.0,6.6,6.53,6.7,2024-12-03 to 2025-02-08
Draymond Green,GSW,HOU,pts_rebs_asts,18.5,under,1.0,5.79,5.83,5.74,2024-11-23 to 2025-02-08
Walker Kessler,UTA,LAC,pts_rebs_asts,23.5,under,1.0,5.65,5.68,5.58,2024-11-26 to 2025-02-03
Keegan Murray,SAC,NOP,pts_rebs_asts,20.5,under,1.0,5.57,5.58,5.54,2024-12-21 to 2025-02-08
Kyrie Irving,DAL,MIA,pts_rebs_asts,38.5,under,1.0,6.83,6.81,6.87,2024-11-27 to 2025-02-08
Klay Thompson,DAL,MIA,pts_rebs_asts,23.5,under,1.0,5.3,5.26,5.38,2024-12-21 to 2025-02-08
Lauri Markkanen,UTA,LAC,pts_rebs_asts,25.5,under,1.0,5.3,5.34,5.26,2024-12-03 to 2025-02-07
Keon Ellis,SAC,NOP,pts_rebs_asts,14.5,under,1.0,5.04,4.92,5.2,2024-12-26 to 2025-02-08
Mike Conley,MIN,OKC,pts_rebs_asts,18.5,under,1.0,5.46,5.69,5.12,2024-12-21 to 2025-02-06
John Collins,UTA,LAC,pts_rebs_asts,26.5,under,1.0,5.44,5.68,5.09,2024-11-16 to 2025-02-07
Isaiah Collier,UTA,LAC,pts_rebs_asts,23.5,under,1.0,6.69,6.52,6.94,2024-12-26 to 2025-02-08
Olivier-Maxence Prosper,DAL,MIA,pts_rebs_asts,19.5,under,1.0,4.34,4.42,4.2,2024-12-15 to 2025-02-06
Anthony Edwards,MIN,OKC,points,29.5,under,1.0,3.32,3.2863571645527485,3.3676229861931963,2024-12-15 to 2025-02-03
Kyrie Irving,DAL,MIA,points,27.5,under,1.0,3.21,3.139881976382666,3.323277458921845,2024-11-27 to 2025-02-08
Stephen Curry,GSW,HOU,points,25.5,under,1.0,3.35,3.3941533423885497,3.2809191748653515,2024-12-19 to 2025-02-08
Zach LaVine,SAC,NOP,points,22.5,under,1.0,3.17,3.132634239312155,3.231237282539885,2024-12-19 to 2025-02-08
DeMar DeRozan,SAC,NOP,points,20.5,under,1.0,3.02,2.990824610524108,3.0707001044202755,2024-12-22 to 2025-02-08
Kyrie Irving,DAL,MIA,rebounds,5.5,under,0.9999999999997118,1.81,1.803509409509516,1.825670493981305,2024-11-27 to 2025-02-08
Keon Ellis,SAC,NOP,rebounds,3.5,under,0.9999999995197306,1.68,1.6191725289902537,1.7701812102725167,2024-12-26 to 2025-02-08
Isaiah Collier,UTA,LAC,rebounds,3.5,under,0.9999997036662526,1.72,1.683148282302392,1.7701692323686682,2024-12-26 to 2025-02-08
DeMar DeRozan,SAC,NOP,assists,3.5,under,0.9999996051856223,1.77,1.7058885308668934,1.8622793878295003,2024-12-22 to 2025-02-08
Keyonte George,UTA,LAC,rebounds,3.5,under,0.9999994900720269,1.62,1.5910365586683612,1.671164663565453,2024-12-03 to 2025-02-08
Stephen Curry,GSW,HOU,rebounds,3.5,under,0.9999685733464011,1.71,1.6530109583630708,1.8021654912641825,2024-12-19 to 2025-02-08
John Collins,UTA,LAC,assists,1.5,under,0.9999653525877502,0.28,0.563443115252407,-0.1404576071363839,2024-11-16 to 2025-02-07
Klay Thompson,DAL,MIA,assists,2.5,under,0.9998972190313812,1.02,0.931995972446884,1.1615900555757726,2024-12-21 to 2025-02-08
Mike Conley,MIN,OKC,rebounds,2.5,under,0.9991548946417568,1.26,1.370702540739006,1.0958060912025926,2024-12-21 to 2025-02-06
Walker Kessler,UTA,LAC,assists,1.5,under,0.9988642443877492,0.64,0.766293534794237,0.4426779515793888,2024-11-26 to 2025-02-03
Trey Lyles,SAC,NOP,points,3.5,under,0.9962693938380177,1.66,1.473862761681907,1.939913758444252,2024-12-26 to 2025-02-08
Naz Reid,MIN,OKC,assists,2.5,under,0.9887198014090759,1.47,1.495884783677918,1.430210867114701,2024-12-29 to 2025-02-08
Olivier-Maxence Prosper,DAL,MIA,assists,2.5,under,0.9874467965509979,0.87,0.8323567056990911,0.9162494152974074,2024-12-15 to 2025-02-06
Rudy Gobert,MIN,OKC,assists,1.5,under,0.9308787196419427,0.83,0.9228102886427824,0.7017207193884409,2024-12-25 to 2025-02-08
Keon Ellis,SAC,NOP,assists,1.5,under,0.9308193706563557,0.87,0.7763292984654563,1.0085023352048983,2024-12-26 to 2025-02-08
Jake LaRavia,SAC,NOP,rebounds,2.5,under,0.9187671109914748,1.45,1.211958048016823,1.815697606658355,2024-12-13 to 2025-02-08
Trey Lyles,SAC,NOP,pts_rebs_asts,5.5,under,0.9178937718666502,3.51,3.04,4.21,2024-12-26 to 2025-02-08
Jake LaRavia,SAC,NOP,pts_rebs_asts,6.5,under,0.8595115266164548,3.9,2.91,5.39,2024-12-13 to 2025-02-08
Jake LaRavia,SAC,NOP,points,2.5,under,0.756521810821219,1.51,1.1908589189776024,1.9891653863950116,2024-12-13 to 2025-02-08
Trey Lyles,SAC,NOP,assists,0.5,over,0.7278551815193022,0.61,0.4571972501291866,0.8321055717386372,2024-12-26 to 2025-02-08
Lauri Markkanen,UTA,LAC,assists,0.5,over,0.5803448808987766,0.51,0.4756250886048513,0.5702436133958774,2024-12-03 to 2025-02-07
Jake LaRavia,SAC,NOP,assists,1.5,over,0.5675399203075,0.94,0.5051166713628089,1.5900160858454186,2024-12-13 to 2025-02-08
Trey Lyles,SAC,NOP,rebounds,1.5,under,0.552891879176724,1.24,1.103983233526212,1.437631028829622,2024-12-26 to 2025-02-08
