Player,Stat Type,Prop Team,Home vs. Away,Expected Value,Prop Line,Probability Over,Probability Under,Max Probability
GG Jackson,points,IND,1,13.858494368954927,8.5,0.9657037374666693,0.034296262533330686,0.9657037374666693
Mikal Bridges,assists,CHI,0,2.463232400359457,4.5,0.039401455452650946,0.960598544547349,0.960598544547349
Scotty Pippen Jr.,points,IND,1,8.620959673018296,4.5,0.9548164365480727,0.04518356345192731,0.9548164365480727
Precious Achiuwa,assists,CHI,0,0.650621840283019,1.5,0.047410158383847434,0.9525898416161526,0.9525898416161526
Matas Buzelis,rebounds,NYK,1,2.6263855078237266,4.5,0.0554630032094271,0.9445369967905729,0.9445369967905729
Precious Achiuwa,rebounds,CHI,0,5.673220031644745,9.5,0.05594223090540562,0.9440577690945944,0.9440577690945944
Matas Buzelis,points,NYK,1,6.417872524430253,12.5,0.06501683806361869,0.9349831619363813,0.9349831619363813
Trendon Watford,assists,CLE,0,0.9531317921882025,2.5,0.07372470432401179,0.9262752956759882,0.9262752956759882
Luke Kennard,points,IND,1,9.079147484228223,5.5,0.9259020334444548,0.07409796655554529,0.9259020334444548
Julian Champagnie,points,PHX,0,8.603429763305657,5.5,0.9235001115828062,0.07649988841719381,0.9235001115828062
Obi Toppin,assists,MEM,0,0.972030105070211,1.5,0.08007343620828555,0.9199265637917144,0.9199265637917144
Ben Sheppard,assists,MEM,0,0.6452605128292012,1.5,0.08285436852212202,0.917145631477878,0.917145631477878
Miles Bridges,points,DEN,1,19.614657033482857,25.5,0.09089870036536096,0.909101299634639,0.909101299634639
Nick Smith Jr.,rebounds,DEN,1,1.170538501781048,2.5,0.09652098081661886,0.9034790191833811,0.9034790191833811
Josh Green,assists,DEN,1,1.0621569034731884,1.5,0.09729135029568137,0.9027086497043186,0.9027086497043186
Myles Turner,assists,MEM,0,1.2053719064234742,1.5,0.10802792195778665,0.8919720780422133,0.8919720780422133
Onyeka Okongwu,rebounds,ORL,0,7.258734460425119,10.5,0.10960601744814225,0.8903939825518578,0.8903939825518578
Guerschon Yabusele,points,BOS,0,10.809276685786667,7.5,0.8855488776704585,0.1144511223295415,0.8855488776704585
De'Andre Hunter,assists,BKN,1,0.9436993588470305,1.5,0.11535954442134799,0.884640455578652,0.884640455578652
Nick Smith Jr.,points,DEN,1,6.615179248781726,12.5,0.1174861215571611,0.8825138784428389,0.8825138784428389
Brandon Clarke,assists,IND,1,0.48320468536140476,0.5,0.11843860512225579,0.8815613948777442,0.8815613948777442
Derrick Jones Jr.,assists,MIL,1,0.34114952487006955,0.5,0.11938703928556749,0.8806129607144325,0.8806129607144325
De'Andre Hunter,points,BKN,1,19.309612442007424,14.5,0.8778774517746819,0.12212254822531812,0.8778774517746819
Darius Garland,rebounds,BKN,1,1.9329747502259624,2.5,0.1329260978303557,0.8670739021696443,0.8670739021696443
Ben Sheppard,rebounds,MEM,0,1.8700091312241909,2.5,0.14532549421688645,0.8546745057831135,0.8546745057831135
Jaren Jackson Jr.,assists,IND,1,1.6076764869589606,2.5,0.147173806821288,0.852826193178712,0.852826193178712
Day'Ron Sharpe,assists,CLE,0,0.9451349139724439,1.5,0.14761531447735132,0.8523846855226487,0.8523846855226487
Coby White,rebounds,NYK,1,2.3479914937330775,3.5,0.14842851946374336,0.8515714805362566,0.8515714805362566
Franz Wagner,points,ATL,1,22.264524454049177,27.5,0.1531982565398181,0.8468017434601819,0.8468017434601819
Devin Booker,rebounds,SAS,1,3.530264721223696,4.5,0.15848468809948435,0.8415153119005157,0.8415153119005157
Georges Niang,assists,ORL,0,1.127972474599776,1.5,0.1603080601360416,0.8396919398639584,0.8396919398639584
Jalen Brunson,assists,CHI,0,6.712155911326351,8.5,0.16065130379837578,0.8393486962016242,0.8393486962016242
Mikal Bridges,rebounds,CHI,0,2.7450036189667624,3.5,0.16586586996468078,0.8341341300353192,0.8341341300353192
Goga Bitadze,points,ATL,1,7.235458180335346,5.5,0.8312818677255653,0.16871813227443472,0.8312818677255653
Payton Pritchard,points,PHI,1,13.493649071893328,10.5,0.8311062339599695,0.1688937660400305,0.8311062339599695
Georges Niang,rebounds,ORL,0,3.377387087003044,4.5,0.17388565644219367,0.8261143435578063,0.8261143435578063
Jrue Holiday,points,PHI,1,10.03334026726115,7.5,0.8245850679806384,0.1754149320193617,0.8245850679806384
Tre Jones,points,NYK,1,6.331498581085838,5.5,0.823861504909262,0.17613849509073795,0.823861504909262
Ziaire Williams,assists,CLE,0,1.009688179893952,1.5,0.17682405510463517,0.8231759448953648,0.8231759448953648
Julian Champagnie,assists,PHX,0,0.4752910473145517,0.5,0.1779238597542615,0.8220761402457385,0.8220761402457385
Nic Claxton,assists,CLE,0,1.3144591458516028,1.5,0.1792398532670939,0.8207601467329061,0.8207601467329061
Derrick White,assists,PHI,1,3.174119200545972,4.5,0.18259575390784544,0.8174042460921546,0.8174042460921546
Onyeka Okongwu,assists,ORL,0,1.6293660120962172,2.5,0.18741692156554446,0.8125830784344555,0.8125830784344555
Tyrese Maxey,rebounds,BOS,0,2.607555937472433,3.5,0.19295271886167464,0.8070472811383254,0.8070472811383254
Zach Edey,assists,IND,1,0.5759881471984732,0.5,0.19502539448612533,0.8049746055138747,0.8049746055138747
Donovan Mitchell,assists,BKN,1,4.510510254993543,5.5,0.19585192771335957,0.8041480722866404,0.8041480722866404
Derrick Jones Jr.,points,MIL,1,10.404217531399157,7.5,0.803748800048998,0.19625119995100207,0.803748800048998
Scotty Pippen Jr.,assists,IND,1,3.33899462668732,1.5,0.8000195165135089,0.19998048348649114,0.8000195165135089
Caris LeVert,rebounds,ORL,0,3.2025681673624935,4.5,0.2006702491023742,0.7993297508976258,0.7993297508976258
Amir Coffey,points,MIL,1,11.43485244193043,8.5,0.7990403510032419,0.20095964899675814,0.7990403510032419
Nick Richards,rebounds,SAS,1,7.301648248313242,9.5,0.20163098838453886,0.7983690116154611,0.7983690116154611
Kevin Huerter,assists,NYK,1,0.9384628670433081,1.5,0.20294500300877272,0.7970549969912273,0.7970549969912273
Joel Embiid,points,BOS,0,30.53054861601971,26.5,0.7965535669762924,0.20344643302370757,0.7965535669762924
Anthony Black,rebounds,ATL,1,2.1529823135877852,2.5,0.2056807140662389,0.7943192859337611,0.7943192859337611
Zaccharie Risacher,assists,ORL,0,0.7753765315415865,0.5,0.2058622559024037,0.7941377440975963,0.7941377440975963
Kevin Durant,rebounds,SAS,1,5.461964663030738,6.5,0.20669539438260887,0.7933046056173911,0.7933046056173911
Tyus Jones,rebounds,SAS,1,2.0891296567984465,2.5,0.21053528049446713,0.7894647195055329,0.7894647195055329
Harrison Barnes,assists,PHX,0,1.2118996501122705,1.5,0.2105658183918636,0.7894341816081364,0.7894341816081364
Aaron Nesmith,points,MEM,0,9.55698046555075,7.5,0.7849490644207759,0.2150509355792241,0.7849490644207759
Anthony Black,assists,ATL,1,2.8681651926103298,3.5,0.2166828599175804,0.7833171400824196,0.7833171400824196
Jalen Wilson,rebounds,CLE,0,2.847747354770118,3.5,0.21734975009237534,0.7826502499076247,0.7826502499076247
Tyrese Haliburton,rebounds,MEM,0,2.9270275015285083,3.5,0.2184342388405729,0.7815657611594271,0.7815657611594271
Luke Kennard,rebounds,IND,1,1.9323457801427888,2.5,0.22006570635192446,0.7799342936480755,0.7799342936480755
Amir Coffey,assists,MIL,1,0.6104592274833496,0.5,0.22259116261244205,0.777408837387558,0.777408837387558
Grayson Allen,rebounds,SAS,1,3.000027543636658,3.5,0.2257015008602672,0.7742984991397328,0.7742984991397328
Jalen Brunson,rebounds,CHI,0,2.329960012422704,2.5,0.22622521844842758,0.7737747815515724,0.7737747815515724
Jaylen Wells,points,IND,1,10.121489904346047,8.5,0.7735163768046831,0.2264836231953169,0.7735163768046831
Quentin Grimes,rebounds,BOS,0,3.3591662971292053,4.5,0.22754135449268575,0.7724586455073142,0.7724586455073142
Day'Ron Sharpe,points,CLE,0,6.753666810660645,8.5,0.23058705452524508,0.7694129454747549,0.7694129454747549
Karl-Anthony Towns,assists,CHI,0,3.034492156124687,3.5,0.23282905130826026,0.7671709486917397,0.7671709486917397
Quentin Grimes,assists,BOS,0,1.6005047688133751,2.5,0.23337290308305725,0.7666270969169428,0.7666270969169428
Zach Edey,points,IND,1,9.513348917398897,7.5,0.7645342561209134,0.23546574387908661,0.7645342561209134
Josh Giddey,points,NYK,1,11.27221198734771,13.5,0.24079532994117703,0.759204670058823,0.759204670058823
Onyeka Okongwu,points,ORL,0,11.234596813979802,13.5,0.2476076427754188,0.7523923572245812,0.7523923572245812
Cole Anthony,rebounds,ATL,1,2.9138714625356403,3.5,0.248153176372773,0.751846823627227,0.751846823627227
Damian Lillard,assists,LAC,0,6.624733184315951,7.5,0.2522475842384285,0.7477524157615715,0.7477524157615715
Sam Hauser,assists,PHI,1,0.8640923521955722,0.5,0.2544074006308348,0.7455925993691652,0.7455925993691652
Tyrese Martin,points,CLE,0,7.383510863507562,6.5,0.7440300943075467,0.25596990569245326,0.7440300943075467
Nic Claxton,points,CLE,0,9.013512497161736,10.5,0.2572034079062975,0.7427965920937025,0.7427965920937025
Jonathan Isaac,assists,ATL,1,0.15720685140233318,0.5,0.25972584995380954,0.7402741500461905,0.7402741500461905
Aaron Nesmith,assists,MEM,0,1.2261543622527693,1.5,0.26134225538389766,0.7386577446161023,0.7386577446161023
D'Angelo Russell,rebounds,CLE,0,2.2607325680861026,2.5,0.2618484046157308,0.7381515953842692,0.7381515953842692
Sam Hauser,rebounds,PHI,1,1.9763416646933434,2.5,0.2620360057100034,0.7379639942899966,0.7379639942899966
Jalen Smith,assists,NYK,1,0.3615910358552454,0.5,0.26384329517569305,0.736156704824307,0.736156704824307
Lonzo Ball,points,NYK,1,8.843802393117011,7.5,0.7347252249118614,0.26527477508813857,0.7347252249118614
Dyson Daniels,rebounds,ORL,0,4.954314158871784,5.5,0.266202552714883,0.733797447285117,0.733797447285117
Kris Dunn,rebounds,MIL,1,3.07631642387711,3.5,0.2664432026282155,0.7335567973717845,0.7335567973717845
Jaylen Brown,assists,PHI,1,4.155284769437654,4.5,0.2664965892486364,0.7335034107513636,0.7335034107513636
Tre Jones,assists,NYK,1,3.7881338515068252,2.5,0.7330392710836485,0.2669607289163515,0.7330392710836485
Jalen Brunson,points,CHI,0,25.615433968189674,28.5,0.26921337951890745,0.7307866204810926,0.7307866204810926
Payton Pritchard,assists,PHI,1,3.1860915307842075,3.5,0.2696729118355462,0.7303270881644538,0.7303270881644538
Keon Johnson,rebounds,CLE,0,2.879154520563131,3.5,0.2709260463700427,0.7290739536299573,0.7290739536299573
Jalen Smith,points,NYK,1,8.224430183237672,9.5,0.2748311741160827,0.7251688258839173,0.7251688258839173
Al Horford,assists,PHI,1,1.4313489446940697,1.5,0.27805626060502386,0.7219437393949761,0.7219437393949761
Desmond Bane,points,IND,1,16.99849984951043,19.5,0.27886333785204975,0.7211366621479502,0.7211366621479502
Kevin Durant,assists,SAS,1,3.9920011362328482,4.5,0.27957541679132014,0.7204245832086799,0.7204245832086799
Kawhi Leonard,rebounds,MIL,1,4.910129864812054,5.5,0.27966366199953296,0.720336338000467,0.720336338000467
Harrison Barnes,rebounds,PHX,0,3.8145350931625757,4.5,0.28094647648409454,0.7190535235159055,0.7190535235159055
Bradley Beal,assists,SAS,1,3.0105208468372466,3.5,0.28746038481331637,0.7125396151866836,0.7125396151866836
Ja Morant,points,IND,1,20.50682427287302,22.5,0.28760697479357955,0.7123930252064204,0.7123930252064204
Kentavious Caldwell-Pope,assists,ATL,1,1.5585873700589947,1.5,0.28957010558808893,0.7104298944119111,0.7104298944119111
Paolo Banchero,assists,ATL,1,5.195468042590059,5.5,0.2897603145324581,0.7102396854675419,0.7102396854675419
Keon Johnson,points,CLE,0,9.414404937883575,12.5,0.29200949580482405,0.707990504195176,0.707990504195176
Michael Porter Jr.,assists,CHA,0,1.4680078476360703,1.5,0.2929298882287632,0.7070701117712368,0.7070701117712368
Sam Hauser,points,PHI,1,6.197275998307763,5.5,0.7070677928057427,0.2929322071942573,0.7070677928057427
Bradley Beal,points,SAS,1,16.423337720929702,14.5,0.7045111975821641,0.2954888024178359,0.7045111975821641
Franz Wagner,assists,ATL,1,3.7677780633424174,4.5,0.29986355696495026,0.7001364430350497,0.7001364430350497
OG Anunoby,rebounds,CHI,0,4.128393689873393,4.5,0.30271738835692463,0.6972826116430754,0.6972826116430754
Myles Turner,rebounds,MEM,0,5.6671753713276,6.5,0.3033829827117369,0.6966170172882631,0.6966170172882631
Coby White,points,NYK,1,17.2440600246743,19.5,0.3055371638434883,0.6944628361565117,0.6944628361565117
Jalen Smith,rebounds,NYK,1,5.279021847306097,5.5,0.30770122065358274,0.6922987793464173,0.6922987793464173
Nic Claxton,rebounds,CLE,0,7.071750425730346,7.5,0.307977083820006,0.692022916179994,0.692022916179994
Bradley Beal,rebounds,SAS,1,3.285683897830758,3.5,0.31629575720753766,0.6837042427924623,0.6837042427924623
James Harden,rebounds,MIL,1,4.876017968137004,5.5,0.3192238306349986,0.6807761693650014,0.6807761693650014
Karl-Anthony Towns,points,CHI,0,24.807774249714548,27.5,0.3202105986081122,0.6797894013918878,0.6797894013918878
Trae Young,assists,ORL,0,11.448708794827597,9.5,0.6753832990142898,0.3246167009857102,0.6753832990142898
Obi Toppin,points,MEM,0,10.031221082077742,9.5,0.6723741764336251,0.32762582356637493,0.6723741764336251
Aaron Gordon,points,CHA,0,12.211811459095273,10.5,0.6710726325016467,0.3289273674983533,0.6710726325016467
Darius Garland,assists,BKN,1,6.311241796270989,6.5,0.332881031303341,0.667118968696659,0.667118968696659
Pascal Siakam,points,MEM,0,20.28164329366185,21.5,0.33534125211718546,0.6646587478828145,0.6646587478828145
Miles Bridges,assists,DEN,1,3.4843542724988152,3.5,0.3353448123476257,0.6646551876523743,0.6646551876523743
Jamal Murray,rebounds,CHA,0,3.5957516317582385,3.5,0.3370817706692376,0.6629182293307624,0.6629182293307624
Tyrese Haliburton,assists,MEM,0,8.19532781705288,8.5,0.3373844045395016,0.6626155954604984,0.6626155954604984
