Player,Opponent,Stat Type,Prop Line,Predicted Value,Variance,Edge,Bet Odds,Implied Probability,EV,Kelly Fraction,Optimal Bet
Klay Thompson,GSW,points,14.5,17.27,61.48,2.7699999999999996,1.9,0.5263157894736842,4.789315789473683,0.04505530180456568,22.52765090228284
Klay Thompson,GSW,pts_rebs_asts,20.5,23.22,66.43,2.719999999999999,1.9,0.5263157894736842,4.6943157894736816,0.040945355397480704,20.472677698740352
Brandin Podziemski,GSW,assists,3.5,4.26,4.26,0.7599999999999998,1.9,0.5263157894736842,0.9703157894736837,0.17840371398973845,89.20185699486923
Jimmy Butler,GSW,points,19.5,19.84,35.57,0.33999999999999986,1.9,0.5263157894736842,0.17231578947368387,0.009558616543193234,4.779308271596617
Kyrie Irving,GSW,assists,5.5,5.75,3.82,0.25,1.9,0.5263157894736842,0.001315789473684159,0.06544500904580915,32.72250452290457
Stephen Curry,GSW,assists,5.5,5.72,5.66,0.21999999999999975,1.9,0.5263157894736842,-0.055684210526316336,0.038869251083171144,19.43462554158557
Jimmy Butler,GSW,assists,5.5,5.42,5.81,-0.08000000000000007,2.1,0.47619047619047616,-0.691809523809524,-0.013769360797011923,0.0
Buddy Hield,GSW,assists,2.5,2.39,2.58,-0.10999999999999988,2.1,0.47619047619047616,-0.7548095238095236,-0.04263564238928584,0.0
Stephen Curry,GSW,rebounds,4.5,4.35,5.56,-0.15000000000000036,2.1,0.47619047619047616,-0.8388095238095246,-0.026978412413954666,0.0
Klay Thompson,GSW,assists,2.5,2.28,2.27,-0.2200000000000002,2.1,0.47619047619047616,-0.9858095238095242,-0.09691625686508516,0.0
Brandin Podziemski,GSW,points,11.5,10.96,44.01,-0.5399999999999991,2.1,0.47619047619047616,-1.6578095238095223,-0.012269938371507859,0.0
Draymond Green,GSW,rebounds,6.5,5.95,7.0,-0.5499999999999998,2.1,0.47619047619047616,-1.6788095238095235,-0.07857141734694036,0.0
Kyrie Irving,GSW,rebounds,5.5,4.52,6.6,-0.9800000000000004,2.1,0.47619047619047616,-2.581809523809525,-0.14848482598714766,0.0
Buddy Hield,GSW,rebounds,4.5,3.49,2.97,-1.0099999999999998,2.1,0.47619047619047616,-2.6448095238095233,-0.3400672255665906,0.0
Jimmy Butler,GSW,pts_rebs_asts,31.5,30.1,49.18,-1.3999999999999986,2.1,0.47619047619047616,-3.463809523809521,-0.028466855866879682,0.0
Draymond Green,GSW,points,9.5,7.99,18.6,-1.5099999999999998,2.1,0.47619047619047616,-3.6948095238095235,-0.08118279133425851,0.0
Stephen Curry,GSW,pts_rebs_asts,38.5,36.31,91.73,-2.1899999999999977,2.1,0.47619047619047616,-5.1228095238095195,-0.02387441378093954,0.0
Brandin Podziemski,GSW,pts_rebs_asts,22.5,20.29,52.87,-2.210000000000001,2.1,0.47619047619047616,-5.1648095238095255,-0.041800642296186095,0.0
Stephen Curry,GSW,points,28.5,26.24,80.51,-2.2600000000000016,2.1,0.47619047619047616,-5.269809523809527,-0.028071046726232205,0.0
Draymond Green,GSW,pts_rebs_asts,22.5,19.98,33.69,-2.5199999999999996,2.1,0.47619047619047616,-5.815809523809523,-0.07479964159098719,0.0
Kyrie Irving,GSW,points,27.5,23.92,38.59,-3.5799999999999983,2.1,0.47619047619047616,-8.04180952380952,-0.09277014530266528,0.0
Buddy Hield,GSW,points,15.5,11.24,34.89,-4.26,2.1,0.47619047619047616,-9.469809523809523,-0.12209801885646263,0.0
Kyrie Irving,GSW,pts_rebs_asts,39.5,34.19,49.01,-5.310000000000002,2.1,0.47619047619047616,-11.674809523809529,-0.10834523345551457,0.0
Buddy Hield,GSW,pts_rebs_asts,22.5,17.12,40.44,-5.379999999999999,2.1,0.47619047619047616,-11.821809523809522,-0.13303659413856098,0.0
Dante Exum,GSW,pts_rebs_asts,14.5,0.0,0.0,-14.5,2.1,0.47619047619047616,-30.97380952380953,-14500000.0,0.0
PJ Washington,GSW,pts_rebs_asts,27.5,0.0,0.0,-27.5,2.1,0.47619047619047616,-58.273809523809526,-27500000.0,0.0
PJ Washington,GSW,points,16.5,,,,2.1,0.47619047619047616,,,
PJ Washington,GSW,assists,2.5,,,,2.1,0.47619047619047616,,,
PJ Washington,GSW,rebounds,8.5,,,,2.1,0.47619047619047616,,,
Dante Exum,GSW,points,7.5,,,,2.1,0.47619047619047616,,,
Dante Exum,GSW,rebounds,2.5,,,,2.1,0.47619047619047616,,,
Mikal Bridges,IND,points,8.5,16.22,42.9,7.719999999999999,1.9,0.5263157894736842,14.194315789473682,0.17995337575866255,89.97668787933128
Tyrese Haliburton,IND,assists,7.5,8.55,7.78,1.0500000000000007,1.9,0.5263157894736842,1.5213157894736855,0.13496142224146251,67.48071112073126
Pascal Siakam,IND,rebounds,6.5,7.51,6.28,1.0099999999999998,1.9,0.5263157894736842,1.4453157894736837,0.16082799986815285,80.41399993407643
Tyrese Haliburton,IND,points,17.5,17.5,67.73,0.0,2.1,0.47619047619047616,-0.5238095238095238,0.0,0.0
Tyrese Haliburton,IND,pts_rebs_asts,29.5,29.43,78.49,-0.07000000000000028,2.1,0.47619047619047616,-0.6708095238095244,-0.0008918333432050828,0.0
Pascal Siakam,IND,pts_rebs_asts,36.5,33.39,43.91,-3.1099999999999994,2.1,0.47619047619047616,-7.0548095238095225,-0.07082668934578253,0.0
Bennedict Mathurin,IND,points,20.5,15.85,42.13,-4.65,2.1,0.47619047619047616,-10.288809523809524,-0.1103726534447507,0.0
Pascal Siakam,IND,points,28.5,22.48,34.62,-6.02,2.1,0.47619047619047616,-13.165809523809523,-0.17388792103154477,0.0
Precious Achiuwa,IND,rebounds,12.5,6.44,21.57,-6.06,2.1,0.47619047619047616,-13.249809523809523,-0.28094574497238084,0.0
Bennedict Mathurin,IND,pts_rebs_asts,29.5,22.51,51.17,-6.989999999999998,2.1,0.47619047619047616,-15.20280952380952,-0.13660347593114175,0.0
Josh Hart,IND,points,28.5,14.05,33.56,-14.45,2.1,0.47619047619047616,-30.868809523809524,-0.4305720968244309,0.0
Karl-Anthony Towns,IND,points,38.5,23.67,55.12,-14.829999999999998,2.1,0.47619047619047616,-31.666809523809523,-0.26904934199837915,0.0
Deuce McBride,IND,points,14.5,,,,2.1,0.47619047619047616,,,
LeBron James,LAL,pts_rebs_asts,39.5,45.03,79.08,5.530000000000001,1.9,0.5263157894736842,10.033315789473686,0.06992918475051614,34.96459237525807
Austin Reaves,LAL,pts_rebs_asts,28.5,32.72,97.16,4.219999999999999,1.9,0.5263157894736842,7.544315789473681,0.04343351128619275,21.716755643096377
LeBron James,LAL,points,24.5,27.61,57.48,3.1099999999999994,1.9,0.5263157894736842,5.435315789473683,0.05410577498076243,27.052887490381217
Lauri Markkanen,LAL,pts_rebs_asts,24.5,27.59,35.68,3.09,1.9,0.5263157894736842,5.397315789473684,0.08660313658623496,43.301568293117484
Austin Reaves,LAL,points,19.5,22.14,85.35,2.6400000000000006,1.9,0.5263157894736842,4.542315789473685,0.030931458337065523,15.465729168532762
LeBron James,LAL,rebounds,6.5,8.63,15.3,2.130000000000001,1.9,0.5263157894736842,3.5733157894736856,0.139215677175446,69.607838587723
Rui Hachimura,LAL,pts_rebs_asts,19.5,21.57,43.58,2.0700000000000003,1.9,0.5263157894736842,3.4593157894736843,0.047498851594794604,23.7494257973973
Austin Reaves,LAL,assists,4.5,5.99,6.77,1.4900000000000002,1.9,0.5263157894736842,2.3573157894736845,0.22008859378307333,100.0
John Collins,LAL,pts_rebs_asts,27.5,28.4,21.0,0.8999999999999986,1.9,0.5263157894736842,1.2363157894736814,0.04285714081632656,21.428570408163278
Rui Hachimura,LAL,rebounds,4.5,5.34,6.27,0.8399999999999999,1.9,0.5263157894736842,1.1223157894736837,0.1339712704989999,66.98563524949995
Rui Hachimura,LAL,assists,0.5,1.33,1.31,0.8300000000000001,1.9,0.5263157894736842,1.103315789473684,0.6335873026051125,100.0
John Collins,LAL,points,17.5,18.32,13.66,0.8200000000000003,1.9,0.5263157894736842,1.0843157894736848,0.06002927818233691,30.014639091168455
Lauri Markkanen,LAL,points,18.5,19.03,28.18,0.5300000000000011,1.9,0.5263157894736842,0.5333157894736863,0.018807664343234096,9.403832171617047
Walker Kessler,LAL,pts_rebs_asts,25.5,26.0,30.24,0.5,1.9,0.5263157894736842,0.47631578947368414,0.016534390987619347,8.267195493809673
Rui Hachimura,LAL,points,14.5,14.9,36.0,0.40000000000000036,1.9,0.5263157894736842,0.28631578947368486,0.011111110802469156,5.555555401234578
Keyonte George,LAL,points,16.5,16.77,11.98,0.2699999999999996,1.9,0.5263157894736842,0.039315789473683305,0.02253756072307503,11.268780361537514
John Collins,LAL,assists,1.5,1.73,0.85,0.22999999999999998,1.9,0.5263157894736842,-0.036684210526315875,0.2705879169553918,100.0
Walker Kessler,LAL,assists,1.5,1.64,1.05,0.1399999999999999,1.9,0.5263157894736842,-0.20768421052631603,0.1333332063493272,66.66660317466359
Lauri Markkanen,LAL,assists,1.5,1.62,1.9,0.1200000000000001,1.9,0.5263157894736842,-0.24568421052631562,0.06315786149586243,31.578930747931214
Keyonte George,LAL,rebounds,3.5,3.46,2.38,-0.040000000000000036,2.1,0.47619047619047616,-0.6078095238095239,-0.016806715627430423,0.0
Jordan Clarkson,LAL,points,18.5,18.41,35.88,-0.08999999999999986,2.1,0.47619047619047616,-0.7128095238095236,-0.0025083611341036433,0.0
Keyonte George,LAL,pts_rebs_asts,25.5,25.21,17.71,-0.28999999999999915,2.1,0.47619047619047616,-1.132809523809522,-0.01637492849379281,0.0
Jaxson Hayes,LAL,rebounds,5.5,5.19,12.69,-0.3099999999999996,2.1,0.47619047619047616,-1.174809523809523,-0.024428682078118012,0.0
Walker Kessler,LAL,points,12.5,11.83,17.38,-0.6699999999999999,2.1,0.47619047619047616,-1.9308095238095238,-0.03855005531932938,0.0
Jordan Clarkson,LAL,pts_rebs_asts,25.5,24.76,40.37,-0.7399999999999984,2.1,0.47619047619047616,-2.0778095238095204,-0.018330442944502243,0.0
Isaiah Collier,LAL,rebounds,3.5,2.46,1.04,-1.04,2.1,0.47619047619047616,-2.707809523809524,-0.9999990384624631,0.0
Jordan Clarkson,LAL,assists,4.5,3.26,1.74,-1.2400000000000002,2.1,0.47619047619047616,-3.1278095238095243,-0.7126432685958228,0.0
Jaxson Hayes,LAL,points,8.5,6.44,11.81,-2.0599999999999996,2.1,0.47619047619047616,-4.849809523809523,-0.17442843569615274,0.0
Jaxson Hayes,LAL,pts_rebs_asts,15.5,12.81,25.55,-2.6899999999999995,2.1,0.47619047619047616,-6.172809523809523,-0.10528375321785699,0.0
Isaiah Collier,LAL,assists,9.5,6.27,2.53,-3.2300000000000004,2.1,0.47619047619047616,-7.306809523809525,-1.2766793372808944,0.0
Isaiah Collier,LAL,points,11.5,7.09,10.53,-4.41,2.1,0.47619047619047616,-9.784809523809525,-0.4188033790310182,0.0
Isaiah Collier,LAL,pts_rebs_asts,24.5,15.82,14.1,-8.68,2.1,0.47619047619047616,-18.751809523809527,-0.61560279321966,0.0
Luka Doncic,LAL,pts_rebs_asts,40.5,0.0,0.0,-40.5,2.1,0.47619047619047616,-85.57380952380952,-40500000.0,0.0
Luka Doncic,LAL,points,25.5,,,,2.1,0.47619047619047616,,,
Luka Doncic,LAL,rebounds,7.5,,,,2.1,0.47619047619047616,,,
Damian Lillard,MIN,pts_rebs_asts,39.5,41.41,82.31,1.9099999999999966,1.9,0.5263157894736842,3.1553157894736774,0.023204956588446603,11.602478294223301
Damian Lillard,MIN,points,26.5,28.21,69.86,1.7100000000000009,1.9,0.5263157894736842,2.7753157894736855,0.024477526131154805,12.238763065577402
Taurean Prince,MIN,points,7.5,9.16,22.16,1.6600000000000001,1.9,0.5263157894736842,2.680315789473684,0.07490974391201517,37.45487195600759
Mike Conley,MIN,points,8.5,10.01,28.42,1.5099999999999998,1.9,0.5263157894736842,2.3953157894736834,0.05313159559705855,26.565797798529275
Rudy Gobert,MIN,points,11.5,12.8,21.09,1.3000000000000007,1.9,0.5263157894736842,1.9963157894736852,0.061640585033637535,30.820292516818768
Rudy Gobert,MIN,pts_rebs_asts,24.5,25.71,36.07,1.2100000000000009,1.9,0.5263157894736842,1.8253157894736858,0.03354588207524588,16.77294103762294
Brook Lopez,MIN,points,12.5,13.31,9.09,0.8100000000000005,1.9,0.5263157894736842,1.065315789473685,0.08910890108812976,44.55445054406488
Brook Lopez,MIN,pts_rebs_asts,18.5,19.23,14.44,0.7300000000000004,1.9,0.5263157894736842,0.9133157894736849,0.05055401311952821,25.277006559764104
Jaden McDaniels,MIN,assists,1.5,2.15,1.58,0.6499999999999999,1.9,0.5263157894736842,0.7613157894736841,0.411392144688516,100.0
Anthony Edwards,MIN,rebounds,5.5,5.96,5.38,0.45999999999999996,1.9,0.5263157894736842,0.40031578947368407,0.08550184284352363,42.75092142176182
Mike Conley,MIN,rebounds,2.5,2.93,2.5,0.43000000000000016,1.9,0.5263157894736842,0.34331578947368446,0.17199993120002757,85.99996560001378
Kyle Kuzma,MIN,points,17.5,17.91,56.33,0.41000000000000014,1.9,0.5263157894736842,0.30531578947368443,0.007278537062337353,3.6392685311686765
Taurean Prince,MIN,pts_rebs_asts,13.5,13.87,27.43,0.3699999999999992,1.9,0.5263157894736842,0.2293157894736827,0.013488880295702476,6.744440147851238
Brook Lopez,MIN,rebounds,4.5,4.74,4.38,0.2400000000000002,1.9,0.5263157894736842,-0.017684210526315414,0.0547945080377836,27.3972540188918
Damian Lillard,MIN,assists,7.5,7.71,5.05,0.20999999999999996,1.9,0.5263157894736842,-0.07468421052631591,0.041584150181356395,20.792075090678196
Mike Conley,MIN,assists,5.5,5.59,4.93,0.08999999999999986,1.9,0.5263157894736842,-0.3026842105263161,0.018255574390349995,9.127787195174998
Mike Conley,MIN,pts_rebs_asts,18.5,18.53,35.85,0.030000000000001137,1.9,0.5263157894736842,-0.41668421052631366,0.000836820060339779,0.41841003016988954
Rudy Gobert,MIN,rebounds,11.5,11.29,12.82,-0.21000000000000085,2.1,0.47619047619047616,-0.9648095238095257,-0.016380653948466998,0.0
Naz Reid,MIN,assists,2.5,2.25,2.01,-0.25,2.1,0.47619047619047616,-1.0488095238095239,-0.12437804757311066,0.0
Kyle Kuzma,MIN,pts_rebs_asts,28.5,28.08,70.51,-0.4200000000000017,2.1,0.47619047619047616,-1.4058095238095274,-0.005956601815960855,0.0
Kyle Kuzma,MIN,rebounds,7.5,6.83,8.4,-0.6699999999999999,2.1,0.47619047619047616,-1.9308095238095238,-0.07976189526644104,0.0
Anthony Edwards,MIN,points,30.5,29.82,89.63,-0.6799999999999997,2.1,0.47619047619047616,-1.9518095238095232,-0.007586745424670918,0.0
Taurean Prince,MIN,assists,2.5,1.8,2.42,-0.7,2.1,0.47619047619047616,-1.993809523809524,-0.2892560788198021,0.0
Jaden McDaniels,MIN,points,14.5,13.62,50.03,-0.8800000000000008,2.1,0.47619047619047616,-2.3718095238095254,-0.017589445980622724,0.0
Jaden McDaniels,MIN,rebounds,7.5,6.34,5.62,-1.1600000000000001,2.1,0.47619047619047616,-2.959809523809524,-0.20640565722319268,0.0
Andre Jackson Jr.,MIN,rebounds,3.5,2.01,0.88,-1.4900000000000002,2.1,0.47619047619047616,-3.652809523809524,-1.6931798941137568,0.0
Andre Jackson Jr.,MIN,points,3.5,1.94,5.24,-1.56,2.1,0.47619047619047616,-3.799809523809524,-0.29770986684926204,0.0
Anthony Edwards,MIN,pts_rebs_asts,42.5,40.79,100.51,-1.7100000000000009,2.1,0.47619047619047616,-4.114809523809526,-0.01701323234490865,0.0
Naz Reid,MIN,points,17.5,15.72,42.91,-1.7799999999999994,2.1,0.47619047619047616,-4.261809523809522,-0.041482171021156575,0.0
Jaden McDaniels,MIN,pts_rebs_asts,24.5,22.11,57.23,-2.3900000000000006,2.1,0.47619047619047616,-5.542809523809525,-0.0417613132664457,0.0
Andre Jackson Jr.,MIN,pts_rebs_asts,8.5,6.07,6.48,-2.4299999999999997,2.1,0.47619047619047616,-5.6268095238095235,-0.3749999421296385,0.0
Naz Reid,MIN,pts_rebs_asts,28.5,24.02,53.25,-4.48,2.1,0.47619047619047616,-9.931809523809525,-0.08413145381912764,0.0
Zach LaVine,NOP,pts_rebs_asts,30.5,33.06,35.99,2.5600000000000023,1.9,0.5263157894736842,4.390315789473688,0.07113086770961752,35.56543385480876
Keegan Murray,NOP,pts_rebs_asts,19.5,21.9,29.97,2.3999999999999986,1.9,0.5263157894736842,4.086315789473681,0.08008007740807212,40.04003870403606
Keegan Murray,NOP,points,12.5,14.72,24.47,2.2200000000000006,1.9,0.5263157894736842,3.744315789473685,0.09072333098801265,45.361665494006324
DeMar DeRozan,NOP,assists,2.5,4.56,6.88,2.0599999999999996,1.9,0.5263157894736842,3.4403157894736833,0.29941856113102305,100.0
Zach LaVine,NOP,points,22.5,24.48,30.93,1.9800000000000004,1.9,0.5263157894736842,3.2883157894736845,0.06401551684398589,32.007758421992946
DeMar DeRozan,NOP,pts_rebs_asts,28.5,30.13,63.19,1.629999999999999,1.9,0.5263157894736842,2.623315789473682,0.025795220354562096,12.897610177281047
CJ McCollum,NOP,pts_rebs_asts,29.5,30.98,75.7,1.4800000000000004,1.9,0.5263157894736842,2.338315789473685,0.01955085839430835,9.775429197154175
CJ McCollum,NOP,points,21.5,22.72,67.21,1.2199999999999989,1.9,0.5263157894736842,1.844315789473682,0.018152060435172424,9.076030217586212
DeMar DeRozan,NOP,rebounds,3.5,4.33,2.56,0.8300000000000001,1.9,0.5263157894736842,1.103315789473684,0.3242186233521003,100.0
Domantas Sabonis,NOP,points,19.5,20.31,44.08,0.8099999999999987,1.9,0.5263157894736842,1.0653157894736816,0.018375680163891076,9.187840081945538
Zion Williamson,NOP,points,25.5,25.78,64.44,0.28000000000000114,1.9,0.5263157894736842,0.05831578947368632,0.004345127182726164,2.172563591363082
Zion Williamson,NOP,assists,4.5,4.72,4.68,0.21999999999999975,1.9,0.5263157894736842,-0.055684210526316336,0.047008536963987775,23.504268481993886
Keegan Murray,NOP,rebounds,6.5,6.49,5.08,-0.009999999999999787,2.1,0.47619047619047616,-0.5448095238095234,-0.0019685035495071333,0.0
Zach LaVine,NOP,rebounds,4.5,4.35,2.66,-0.15000000000000036,2.1,0.47619047619047616,-0.8388095238095246,-0.05639095624400154,0.0
